What was the activity about?,"Overall, what is your level of satisfaction after attending this activity?",The activity was engaging,"I felt comfortable asking questions during the activity (i.e., enough time, clear responses, etc.)",The activity provided me with information/resources that I can apply to my job search process.,What is the one most valuable thing you have learned during this activity (knowledge or skill) that you anticipate implementing in your job search/career journey?,What recommendations would you suggest for improving the activity overall?,Do you have any other comments that you would like to share?
5-Day Sector Specific Training,Very satisfied ,Strongly agree,Strongly agree,Strongly agree,"sector specific knowledge, interview skills, targeted resumes",The program is conducted very well. May be Project Management needs a few more sessions. Would be even better to bring more experts.,
Employer Coaching Session,Very satisfied ,Strongly agree,Strongly agree,Agree,,,
Targeted Recruitment Event,Very satisfied,Strongly agree,Agree,Agree,This was very important and helpfull for everyone who wanted to get a job sooner and within thier field of expereince.,"that was good overall, but i would like to add that the participants resume should be shared with the employers that might be a way to be contact from them in case of any open position.","No, thanks everyone!"
Targeted Recruitment Event,Neutral,Neutral,Neutral,Neutral,"To be honest, if this is the future of establishing connections with recruiters, I think its setting the basis to discriminate and discard people at a very beginning of the process.","The problem is not with the activity, it its what is behind according my opinion with this type of resume.",
Targeted Recruitment Event,Satisfied,Agree,Agree,Neutral,Honed my elevator pitch a bit more,None,None
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,opportunity for my intended job role.,none,Hopefully i connect and I get a positive outcome
Targeted Recruitment Event,Satisfied,Agree,Agree,Strongly agree,Hiring procedures and networking opportunity,Please continue the great work.,
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,That it is possible to use tranferrable skills to find suitable roles in related sectors. ,None,No
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Agree,"Digital Resum, Video resume and multiple other useful info",More hands on training on wrtining cover letter and resume,
Targeted Recruitment Event,Satisfied,Strongly agree,Agree,Agree,networking,,
Targeted Recruitment Event,Satisfied,Agree,Agree,Strongly agree,ive learnt that so many job exist in the hidden job market and through such events more opportunities are availed to potential job seekers hence networking should form as top search tool for success,none at moment,Rather to extend my thanks to facilitators and World Skills for opportunity.thank you.
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,transferable skills is also very importation.,the whole event is amazing.,Pirouz is always trying to povide us the greatest event and supportive guests.
Targeted Recruitment Event,Very satisfied,Agree,Strongly agree,Agree,,,
Targeted Recruitment Event,Satisfied,Agree,Agree,Agree,Trasferable skills can work,Binging in more employers representatives,No
